title	repository	comment
## 软件安装包		
	https://github.com/bczhc/rime-android	Android
	https://github.com/fcitx-contrib/fcitx5-macos-installer	macOS
	https://github.com/fcitx/fcitx5-macos	macOS
	https://github.com/fcitx/fcitx5-rime	Linux
	https://github.com/fcitx5-android/fcitx5-android	Android，可通过插件支持Rime
	https://github.com/fxliang/weasel	Windows（小狼毫Fork版）
	https://github.com/FydeOS/fydeRhythm	FydeOS/ChromeOS（真文韵输入法）
	https://github.com/gaboolic/moqi-im-android	Android（墨奇输入法）
	https://github.com/gaboolic/moqi-im-windows	Windows（墨奇输入法）
	https://github.com/gurecn/YuyanIme	Android（语燕输入法）
	https://github.com/imfuxiao/Hamster	iOS/iPadOS（仓输入法；Pro版本收费）
	https://github.com/jimmy54/iRime	iOS
	https://github.com/LEOYoon-Tsaw/squirrel	macOS（鼠鬚管Fork版）
	https://github.com/LibreService/my_rime	Web <https://my-rime.vercel.app>
	https://github.com/Mark24Code/rime-auto-deploy	多平台安装配置脚本
	https://github.com/osfans/trime	Android
	https://github.com/rime/ibus-rime	Linux
	https://github.com/rime/squirrel	macOS
	https://github.com/rime/weasel	Windows
	https://github.com/rimeinn/rabbit	Windows（玉兔毫，AutoHotkey实现）
	https://github.com/Techince/weasel	Windows（Fork）
	https://github.com/tumuyan/Handwriting-for-Android	Android，TRIME手写输入插件
	https://github.com/tumuyan/trime-without-CMake	Android
	https://github.com/ximeiorg/Xime	Android（曦码输入法，曾用名Kime）
	https://github.com/xkinput/keytao-app	桌面端与 Android（KeyTao/键道）
## 配置和词库		
### 热门配置		
	https://github.com/amzxyz/rime-wanxiang	万象拼音（深度优化的词库和语法模型）
	https://github.com/Bambooin/rimerc	
	https://github.com/boomker/rime-fast-xhup	小鹤双拼+小鹤形码辅助方案
	https://github.com/fkxxyz/rime-cloverpinyin	四叶草拼音输入方案
	https://github.com/gaboolic/rime-frost	白霜拼音
	https://github.com/gaboolic/rime-shuangpin-fuzhuma	
	https://github.com/iDvel/rime-ice	雾凇拼音
	https://github.com/Iorest/rime-setting	
	https://github.com/jacobax/trime-config	Trime
	https://github.com/KyleBing/rime-wubi86-jidian	 86 版极点五笔的输入配置方案
	https://github.com/LufsX/rime	
	https://github.com/Mintimate/oh-my-rime	在线体验 <https://www.mintimate.cc/zh/demo/fcitx5Online.html>
	https://github.com/rimeinn/rime-moran	魔然 Rime 輸入方案，ksqsf/rime-moran
	https://github.com/scukeqi/Wisdom-Weasel	LM增强输入
	https://github.com/SivanLaai/rime-pure	
	https://github.com/ssnhd/rime	
	https://github.com/wongdean/rime-settings	
	https://github.com/xushengfeng/lime	大模型驱动的拼音输入法
### 个人配置		
	https://github.com/15cm/rime-config	
	https://github.com/amorphobia/rime-user-config	
	https://github.com/andy0130tw/aarrr-rime	
	https://github.com/ASC8384/myRime	
	https://github.com/ayaka14732/MyRimeConfig	
	https://github.com/bczhc/rime-config	
	https://github.com/chenzhiwei/rime	
	https://github.com/chwt163/mytrime	
	https://github.com/Direct-A/rime-pure	
	https://github.com/DreamAfar/Rime-IME-for-iOS-iRime	iRime
	https://github.com/drganghe/Rime-Settings	
	https://github.com/eko5624/rime-config	五笔+万象拼音
	https://github.com/expoli/rime-config	
	https://github.com/fernvenue/hamster-scripts	Hamster
	https://github.com/forfudan/yuhao-ime-release	宇浩繁简通打输入法 <https://shurufa.app> / <https://zhuyuhao.ysepan.com/>
	https://github.com/fxliang/weasel_config	
	https://github.com/gkzhb/rime.d	
	https://github.com/ha-pin/rime-cloverpinyin	四叶草哈汉混合输入方案
	https://github.com/henices/rime	
	https://github.com/impishian/rime-ice-ziranma-zhengma-huma	
	https://github.com/IT1187541749/Rime-data	
	https://github.com/ivu99/98wubi-weasel	
	https://github.com/JACKCHAN000/Rime-Quick5-Setup	
	https://github.com/Jed-Z/rime-settings	
	https://github.com/khsing/Rime	
	https://github.com/laloe74/rime-settings	
	https://github.com/Lantaio/Rime-schema-JoySchema	惊喜输入方案，懂程序员和科研工作者
	https://github.com/Lucius-Wang/rime-config	
	https://github.com/MISTER-CHAN/rime-user-dir	Trime
	https://github.com/owenyang0/iRime-iOS-tiger	iRime
	https://github.com/Ponpon55837/Squirrel	
	https://github.com/qvshuo/squirrel	
	https://github.com/rgb-24bit/rime	
	https://github.com/rimeinn/cat-zrm-parallel-input	
	https://github.com/rwerplus/rime	
	https://github.com/ScriptGo/rime	
	https://github.com/sheepduke/rime-config	
	https://github.com/shenyileirob/rime_schemata	
	https://github.com/someok/rime-ice-custom	
	https://github.com/Sorosliu1029/rime-conf	
	https://github.com/szc126/rime-liangfen	unapproved fork of LiangFen by Sim CheonHyeong
	https://github.com/szc126/rime-misc	Trime, 9鍵地球拼音 + 粵拼
	https://github.com/tickmao/Rime	
	https://github.com/tinywaves/rime-config	
	https://github.com/tumuyan/rime-melt	
	https://github.com/vgist/RimeFiles	
	https://github.com/Waterstrong/rime-squirrel.settings	
	https://github.com/WithdewHua/rime-configuration	
